id,name,state_id/id,code
canton_1_01,San José,base.state_SJ,1
canton_1_02,Escazú,base.state_SJ,2
canton_1_03,Desamparados,base.state_SJ,3
canton_1_04,Puriscal,base.state_SJ,4
canton_1_05,Tarrazú,base.state_SJ,5
canton_1_06,Aserrí,base.state_SJ,6
canton_1_07,Mora,base.state_SJ,7
canton_1_08,Goicoechea,base.state_SJ,8
canton_1_09,Santa Ana,base.state_SJ,9
canton_1_10,Alajuelita,base.state_SJ,10
canton_1_11,Vásquez de Coronado,base.state_SJ,11
canton_1_12,Acosta,base.state_SJ,12
canton_1_13,Tibás,base.state_SJ,13
canton_1_14,Moravia,base.state_SJ,14
canton_1_15,Montes de Oca,base.state_SJ,15
canton_1_16,Turrubares,base.state_SJ,16
canton_1_17,Dota,base.state_SJ,17
canton_1_18,Curridabat,base.state_SJ,18
canton_1_19,Pérez Zeledón,base.state_SJ,19
canton_1_20,León Cortéz Castro,base.state_SJ,20
canton_2_01,Alajuela,base.state_A,1
canton_2_02,San Ramón,base.state_A,2
canton_2_03,Grecia,base.state_A,3
canton_2_04,San Mateo,base.state_A,4
canton_2_05,Atenas,base.state_A,5
canton_2_06,Naranjo,base.state_A,6
canton_2_07,Palmares,base.state_A,7
canton_2_08,Poás,base.state_A,8
canton_2_09,Orotina,base.state_A,9
canton_2_10,San Carlos,base.state_A,10
canton_2_11,Zarcero,base.state_A,11
canton_2_12,Valverde Vega,base.state_A,12
canton_2_13,Upala,base.state_A,13
canton_2_14,Los Chiles,base.state_A,14
canton_2_15,Guatuso,base.state_A,15
canton_3_01,Cartago,base.state_C,1
canton_3_02,Paraíso,base.state_C,2
canton_3_03,La Unión,base.state_C,3
canton_3_04,Jiménez,base.state_C,4
canton_3_05,Turrialba,base.state_C,5
canton_3_06,Alvarado,base.state_C,6
canton_3_07,Oreamuno,base.state_C,7
canton_3_08,El Guarco,base.state_C,8
canton_4_01,Heredia,base.state_H,1
canton_4_02,Barva,base.state_H,2
canton_4_03,Santo Domingo,base.state_H,3
canton_4_04,Santa Bárbara,base.state_H,4
canton_4_05,San Rafaél,base.state_H,5
canton_4_06,San Isidro,base.state_H,6
canton_4_07,Belén,base.state_H,7
canton_4_08,Flores,base.state_H,8
canton_4_09,San Pablo,base.state_H,9
canton_4_10,Sarapiquí,base.state_H,10
canton_5_01,Liberia,base.state_G,1
canton_5_02,Nicoya,base.state_G,2
canton_5_03,Santa Cruz,base.state_G,3
canton_5_04,Bagaces,base.state_G,4
canton_5_05,Carrillo,base.state_G,5
canton_5_06,Cañas,base.state_G,6
canton_5_07,Abangáres,base.state_G,7
canton_5_08,Tilarán,base.state_G,8
canton_5_09,Nandayure,base.state_G,9
canton_5_10,La Cruz,base.state_G,10
canton_5_11,Hojancha,base.state_G,11
canton_6_01,Puntarenas,base.state_P,1
canton_6_02,Esparza,base.state_P,2
canton_6_03,Buenos Aires,base.state_P,3
canton_6_04,Montes de Oro,base.state_P,4
canton_6_05,Osa,base.state_P,5
canton_6_06,Aguirre,base.state_P,6
canton_6_07,Golfito,base.state_P,7
canton_6_08,Coto Brus,base.state_P,8
canton_6_09,Parrita,base.state_P,9
canton_6_10,Corredores,base.state_P,10
canton_6_11,Garabito,base.state_P,11
canton_7_01,Limón,base.state_L,1
canton_7_02,Pococí,base.state_L,2
canton_7_03,Siquirres,base.state_L,3
canton_7_04,Talamanca,base.state_L,4
canton_7_05,Matina,base.state_L,5
canton_7_06,Guácimo,base.state_L,6
